id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13dezxwxli3z5skf222h3j5kwzzhndky,Janmacia,4 hours ago,1475557305453,"This doesn´t looks like a movie, it looks like a SHITTY COMMERCIAL. The dislike bar is Extremely Big, i´ve never seen a dislike bar like this, In the like/dislike bar, Only the 6.18% are likes LOOOOOOL.",0,false,0,,,,,,
z130ttbojn3wdb0nv22bxf1azpnbsnkuz,nowknowthis,4 days ago,1475211705454,why so many dislikes? it looks like one of the best comedies ever. xD,0,true,1,,,,,,
,,,,,,,,z130ttbojn3wdb0nv22bxf1azpnbsnkuz.1475497312492954,Lucas Lutken Larsen,16 hours ago,1475557305675,are you fucking kidding me?,0
z12bubfphyjdxtn5504cg3uouoztgjmjldg,JfnDWatchesVids,6 days ago,1475038905455,Take my word for it. This is NOT a good first date movie.,0,false,0,,,,,,
z12vdr0ypnn5j1pwk04cgto5yxvzjvqz5jk,Stratoox,3 weeks ago,1473742905455,"i literally searched for "" the shitiest movie ever""",2,false,0,,,,,,
z12fzx3rnrn1xrypt04ced253zu1vdiychw,Jeremy Cating,3 weeks ago,1473742905456,Happy birthday Jesus...I hope you like crap.,2,false,0,,,,,,
z12lsveixxfov50kw23lxx55owalelz5304,luciu constantin,4 weeks ago,1473138105457,"religion propaganda again ,again and again.....",2,false,0,,,,,,
z12czzyomkv0srmss22zynzahwidjh2re04,Gaming With Noah,1 month ago,1472965305457,ok?,0,false,0,,,,,,
z12nzb1i1mb5jdflp22vjrfxslqdfdf5m04,TR0LLREIGN,1 month ago,1472965305458,"What shows the general attitude of us atheists is that this trailer is rated so badly and this movie is rated so badly. It's a shit trailer, yes, but it isn't half as bad as the ratings show. Think rationally and ask yourself: am I downvoting this out of a sense of ""duty as an atheist"" or because it's really that bad? Duty it is for most of you, which is really bad because it shows how the atheist community started behaving like a herd of sheep, like a cult, like a religion.",0,false,0,,,,,,
z13kx13zdoe4yttjb04cjxg5tvjugp0zgyw0k,HellioN,1 month ago,1472965305458,"Why so many dislikes this trailer have, someone explain ?",0,false,0,,,,,,
z133stw5vn2itdngu04cghbzopjfudzpwzg0k,Injun Samurai,1 month ago,1472965305459,"Lets play pretend for a minute I am God, I am all knowing and all powerful I created everything you see Now here is the catch, I will not intervene personally to get you to trust and know me, instead I will send my people to convince Only the most convincing, wonderful people will be able to explain to you my glory, my love for you, and my great power now lets see who we have here(gets out list of potentials)hmmm many good choices, I just don't see any- hold the phone Kirk Cameron, Found me at the hard age of 17, child star. He is perfect. People will take him seriously, how could this go wrong He will be the one to spread my word and through him, people will see my wonder. A few years later lets pretend that never happened( new list)",0,false,0,,,,,,
z12ic1mb4qyuuzqae04cc1w5trvnvxjzchk,KublawiA,1 month ago,1472965305459,"Wanna have the best experience of this film? Here's how you do it. Step 1: Grab some popcorn Step 2: Grab some coca-cola Step 3: Put that movie in the player Step 4: Start the film Step 5: Before the beginning credits end, put a loaded gun up to your head Step 6: pull the trigger That's how you watch this movie!",1,false,0,,,,,,
z13nyrbgxla1srn2u221g3s4mszqejrgo04,Rastifan,1 month ago (edited),1472965305459,"For fucks sake. Someone take that camera from Kirk. And the only uplifting thing about this ""movie"" was the fact that Ray Comfort wasn't in it.",0,false,0,,,,,,
z13pgnka5uirfzd0s23tdf4gqxfuuj4oc04,Manuel Hilario masó,1 month ago,1472965305460,What else is not in the Bible?,0,false,0,,,,,,
z12lzrngqkyrhp0w404ccleahummjhxxdkw0k,Kano Vurrikstadd,1 month ago,1472965305460,This trailer gave me cancer...,1,false,0,,,,,,
z13utdob0sfvzpikx234zddahziojtjvw,Carp Etlick,2 months ago,1470286905461,"What the hell is even going on here? Kirk's complaining about how (those gosh darn liberals are stealing christmas from Jesus) and when he meets a guy who thinks commercialized christmas is even worse than he than pc christmas he just tells him ""nope its still jesus"". Who is he saving christmas from? People who are even more religious than himself?",2,false,0,,,,,,
z130zzqwhrzasf01t23iihqrouquzltjh04,Tate Amstutz,2 months ago,1470286905461,I'm a christian and this made Me sad xD This is just some overly fucking loud asshole trying to push religion in peoples faces which guess what fuck that and fuck you,1,false,0,,,,,,
z13ahrebszansv5nv23vvdc5qovlwfau0,Fred Bush,2 months ago,1470286905462,crappy shit,0,false,0,,,,,,
z13ht5fhrvaie1rjr04cfr2gjreyhvez3k40k,War Dalek,2 months ago,1470286905462,"This looks like a commercial, not a movie.",1,false,0,,,,,,
z13kylmrpszpjtpbd04ciz4o2wygzjeq1bo,9CWAI,2 months ago,1470286905463,Kill me!,0,false,0,,,,,,
z13dhlx5bzfpjnqkl23xcbqbtoynu1roc04,sexypepe,2 months ago,1470286905463,Does anybody have some bleach I can borrow?,7,true,3,,,,,,
,,,,,,,,z13dhlx5bzfpjnqkl23xcbqbtoynu1roc04.1470321604850381,Mr. Tenandstuff,1 month ago,1472965305877,Borrow?? You won't be alive to give it back!!,0
,,,,,,,,z13dhlx5bzfpjnqkl23xcbqbtoynu1roc04.1472570177493265,Injun Samurai,1 month ago,1472965305878,what if he was using it to clean up the vomit on the floor from watching this,2
,,,,,,,,z13dhlx5bzfpjnqkl23xcbqbtoynu1roc04.1472570195930517,Injun Samurai,1 month ago,1472965305878,good point,2
z12jvzii0la2j14wn04ch5i4ssbwelma2cc,Brian Tolley,2 months ago,1470286905464,"Wow.... (clap...clap....clap....), I don't know how Kirk Cameron did it, but he was able to crucify Jesus, as well as Christianity, in the hands, feet, and a special stigmata to everyone's nads who came across to just the trailers alone. Holy FUCK, this movie is more of a cinematic train wreck than The Room, but at least with The Room it didn't metaphorically beat the shit out of you with a bible. It just says to me that ""ALL RELIGIONS ARE DEAD!"". Can this movie be more of an insult? I rather on fucking bath salts, eating my own face while aging backwards than watch this again. most religions still have not yet learned that ONE FUCKING WORD yet, and it's really pissing me off. I feel if anyone watches it, they're going to hell. Cameron should've just concentrated of going to Growing Pains reunions. IF this somehow replaces A Christmas Story on TBS, I swear to god, Stu....",0,false,0,,,,,,
z12ffvmyolv4wpv4q04cdxsiwmb3cllryrc0k,carlos carrion,2 months ago,1470286905464,Yes!!! The proof of Human might.,0,false,0,,,,,,
z13ayr3ybqrnitnme23bepy5nzv0gznq504,Searching Pagan,2 months ago,1470286905465,You gotta be fucking kidding me,0,false,0,,,,,,
z122ijianumjxjqmk23ou3uqsoqjgn0b004,potato chip20,3 months ago,1467608505465,I can't even watch the trailer without cringing,9,false,0,,,,,,
z132vfgiytqedpsxi04cd1pzetnyerjoaj0,mashuganah vinny,3 months ago,1467608505466,"So if someone crashes into your tree it's the work of the ""holy spirit"" and the whole crowd at your house will happily agree. Nothing weird there.",0,false,0,,,,,,
z121xb1zzu2tx1qn023gyzi5dmzigpdrz04,Oscar Estrella,3 months ago,1467608505466,"this movie is the lowest rated movie in history according to IMDB, so i'm not wasting my time",0,false,0,,,,,,
z12wxvg4jy2yxvnuq223vne4suazy3pbd04,Adalberto Cardoso,3 months ago,1467608505467,"some years ago I got out of my religion, and then I started to learn more about atheism, and how its a lack of believe and I certainly can stand for that. I'm not going back to my religion, because it's nonsense, but really, hijacking some christian movie trailer just to feel superior shows that idiots will be idiots religion or not. This is the kind of stuff that gives atheism a bad name, and I'm so against it. Christians want a christian movie, what is the big deal? let them have it and don't go see it imbeciles. not really my kind of movie, but keep it up guys, it's good that you have people committed to making specific enterteinment for you.",0,false,0,,,,,,
z13zvn5ayymdj5my404ch3katz2cd1zoris,Silas Charleaux,3 months ago,1467608505467,Why would someone message me in imdb with a link for this trailer?,0,false,0,,,,,,
z13efhdzetnyfzfzz04cd1pgltm1fjza5qg0k,Jerry Mill,3 months ago,1467608505468,Who was brought here by the Amazing Athiest?,0,false,0,,,,,,
z13jjhkpfkakzpv0q23xytr5lp2lj1dic04,TheMuffinKing,3 months ago,1467608505468,811 people are on meth,14,true,1,,,,,,
