id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13rcfagvlv5t10tg23dftarapj4c14dw,alexandru anghel,1 day ago,1475479854289,7 years. still hurt.,0,false,0,,,,,,
z13uxtby2ty5tzzf023fcp2o1wvihhkbo04,Not the real Steve Harvey,2 days ago,1475393454290,wot,0,false,0,,,,,,
z12nsd2xstrjebhpz04cifzismmwjztaci0,Uber Dimensional,3 weeks ago,1473751854291,more like Dregun Bols,0,false,0,,,,,,
z12jfnjoslj1drubj04cifzismmwjztaci0,Uber Dimensional,3 weeks ago,1473751854292,mor,0,false,0,,,,,,
z131wjareprav15qw04cejfh1v21gfkpeg4,Caleb Barcelos,3 weeks ago,1473751854294,"Nothing in this movie was good. The characters looks nothing like the anime, the story was stupid, acting was trash, and it was too predictable.",0,false,0,,,,,,
z12wfze42wmrhfmdr22ejf0hgne1yfnxl04,LeamTRAP the humantronic,3 weeks ago,1473751854295,this is a massive insult to the ultimate dbz master and eating master goku never went to school bulma doesnt look like that DID THEY EVEN WATCH IT,0,false,0,,,,,,
z13fdrbjvuy3gx5j404cdtsh3zebctrxpvg0k,goku son,3 weeks ago,1473751854296,well bleach don't fail me now,0,false,0,,,,,,
z12bttq44lqri5csk23xfv1rbvbgep50m,sean kruckenberg,3 weeks ago,1473751854298,after watching this trailer I doused my eyes I'm bleach then drank the damn thing this is my spirit telling you join me it's better than watching 2 hours of this krillin production I rather be with Yamacha in that sibaman suicide than sir through this piece of shit movie,0,false,0,,,,,,
z13tjtkhkljpfzko104chzc4iuymxtdquck,Mr Mega,1 month ago,1472974254299,"to the makers o this movie, like the old man iDubbztv said.... 'kill yourself'",0,false,0,,,,,,
z131frehouv4xluce23yef5phw3stpiey,luke Gladwin,1 month ago,1472974254300,i just want to hit someone now,1,false,0,,,,,,
z12wdjiy1netf1mge04cjle5lyjvhdjomyo0k,dbzhero97,1 month ago,1472974254300,came to see the dislike bar.,4,true,1,,,,,,
,,,,,,,,z12wdjiy1netf1mge04cjle5lyjvhdjomyo0k.1472072484000262,Chaofun The Cool,1 month ago,1472974254550,So did I. :D,0
z12fvlubsvj0udper23zzp5yfxztgzgru04,Dondre Hopper,1 month ago,1472974254302,they basically said fuck the source material,1,false,0,,,,,,
z13mwtpolqvytnplm22bin1y3pykcl5x004,The FedEx Gamer,1 month ago,1472974254303,Just WTF Y,0,false,0,,,,,,
z12xchnrmljkfzkul22mjle4tsfwydsyc04,Dreaming in Metaphors,1 month ago,1472974254304,this was such a hot mess of a movie.,0,false,0,,,,,,
z13uzhp53ryyvvh5004ccna4nmamwlxwqdg,Krispin Wah,1 month ago,1472974254304,Mortal Kombat Annihilation was terrible but at least it was funny. This literally hurts to watch.,0,false,0,,,,,,
z132uhyxaqflh3l0222uy33irka4xlzs3,.,1 month ago,1472974254305,I can't agree with you guys. It's not bad movie. It's EXTREMELY bad movie!,0,false,0,,,,,,
z134glbaxuvmxrvbd04cjt5jtmipw1rb1zk0k,Psycho Killer,1 month ago,1472974254306,Wtf.. 363 likes? isn't that a little bit to much? People who liked: dislike please.,0,false,0,,,,,,
z12pizybjkvaht23v23twjkjlpbyt30wr04,om3ga5,2 months ago,1470295854306,WHAT THE FUCK IS THIS ?,1,true,1,,,,,,
,,,,,,,,z12pizybjkvaht23v23twjkjlpbyt30wr04.1471487187697922,Lego,1 month ago,1472974254825,"oh i get you're referencing that one little girl saying ""WHAT THE FUCK IS THIS?"" vine.",0
z13sxrhzauixuv44m04cjnljtvqkul3zbkc0k,Ahle Charlehhh,2 months ago,1470295854307,This is one of those anime that you should just NOT ever touch.,0,true,3,,,,,,
,,,,,,,,z13sxrhzauixuv44m04cjnljtvqkul3zbkc0k.1471487145095757,Lego,1 month ago,1472974255100,what do you mean dragon ball z is awesome the dragon ball evolution movie sucks but are you saying that they should have never touched an anime so popular called dragon ball z? or what?,0
,,,,,,,,z13sxrhzauixuv44m04cjnljtvqkul3zbkc0k.1471493105574489,Ahle Charlehhh,1 month ago,1472974255100,I'm saying they shouldn't have transitioned this movie into a real life action film if it wasn't going to be like the series.,0
,,,,,,,,z13sxrhzauixuv44m04cjnljtvqkul3zbkc0k.1471525643350309,Lego,1 month ago,1472974255101,ok,0
z13vwt4z2zarzddqx04cdphqwle1djia4u40k,Kayako Saeki,2 months ago,1470295854308,This movie is biggest insult from Americans to Japan since Hiroshima 😡,0,false,0,,,,,,
z134cljgxsagh5qov04ccfuibyyocpkrxo00k,vic sierra,2 months ago,1470295854308,estoy seguro q akira toriyama llorò de dolor,0,false,0,,,,,,
z12ncpdyzvrxe1u0z22cifpzcmvajlwm1,Mystical,2 months ago,1470295854309,I've never watched this movie and I never will but I have to say the amount of CRINGE in this video is overwhelming,1,true,1,,,,,,
,,,,,,,,z12ncpdyzvrxe1u0z22cifpzcmvajlwm1.1471478510726207,Andrew Elam,1 month ago,1472974255258,"Don't watch it. I did, and I regret it. This was supposed to be a live action adaption of the anime.... It failed miserably. Everything that happened in this movie, never happened in Dragon Ball.",2
z12cs1x4nsbjt5jhu04ccbko4p25s5f5ino0k,marcus chan,2 months ago,1470295854310,"seriously . . . its so bad, that i wanted to cry . . .",0,false,0,,,,,,
z12acbrbbwmqejzhr04cclnhonmkc1azvwk0k,Shikamaru Nara,2 months ago,1470295854310,On behalf of the American people we're sorry,0,false,0,,,,,,
z12dhp3wgpa5e30vn23fepnb2xagibyjh04,sans Rocker,2 months ago,1470295854311,no powers no noting sukes,0,false,0,,,,,,
z13offvautjpgxzwq04cdjwj0yudvjyokmo0k,MARIOX75,2 months ago,1470295854312,and i thought KOF hollywood movie version is horrible,1,false,0,,,,,,
z13vzpgqhvzuxdzfn221vhfjmnmbwtb0u,John Hart,2 months ago,1470295854312,"Vegeta: ""It's over 9000... dislikes!!!""",2,false,0,,,,,,
z13kztiz4oiqcb4lr22kcxvjyrvvf5le4,rayjr1122,3 months ago,1467617454313,They could find like 10 Asian ppl to be in this movie except Goko?,2,false,0,,,,,,
z13kyzo4ksf3evxzu04cjrqp2y2wcdtzxsk0k,Son Goku,3 months ago,1467617454314,Shouldn't Goku be a kid here? At least 14?,1,false,0,,,,,,
z13lxxvakr2ly3dql04cinpyqt2awlryc3o,Navy,3 months ago,1467617454314,Hay películas malas... Pero nadie superara esta cagada,1,true,6,,,,,,
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468604339455935,HakuPotions,2 months ago,1470295855474,Enrealidad hay una ya lo hicieron conj tan solo anunciar los actores de la nueva pelicula de Death Note,0
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468622909305682,Navy,2 months ago,1470295855476,+FraanBMX Pelicula de Death Note??? o por Kira!!!,0
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468628237588304,HakuPotions,2 months ago,1470295855476,"No, van a sacar una pelicula real life en la que la apariencia de los actores no se parece nada a la apariencia de los personajes del anime no parese Death Note.",0
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468634437332703,Navy,2 months ago,1470295855477,+FraanBMX OH DIOS MIO si L no se parece a... L esto sera una cagada Super Saijajin (lo siento si lo copie mal) Nivel Dios Fase 2!,0
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468635397323621,HakuPotions,2 months ago,1470295855477,Va a ser lo mismo que Dragon ball evolution :/ En otras palabras una mierda total,0
,,,,,,,,z13lxxvakr2ly3dql04cinpyqt2awlryc3o.1468636366421889,Navy,2 months ago,1470295855478,"+FraanBMX Sip, vaya mierda",1
z13uyneh3xnjdx21r22lzjxoapnpsb0sf,Izzy A,3 months ago,1467617454315,wow a kamehameha with only one hand.,0,false,0,,,,,,
z12uwzrxwlepgfju022mejnwhxr0xri1v,Apex_Demon,3 months ago,1467617454316,Tf is this bullshit?,0,false,0,,,,,,
z12zxdx42y2st1dqa04cfbeofvvsjj4j3jo,Wendel Senat,3 months ago,1467617454316,It's just terrible. wannabe animes😂😂,1,false,0,,,,,,
z12nhbiognmnvjri104cfbeofvvsjj4j3jo,Wendel Senat,3 months ago,1467617454346,What the hell is that supposed to be?,0,false,0,,,,,,
z12vdjbgtlzwjjpdl23owbuirpigz324o04,MeNoBites,3 months ago,1467617454347,"shame, shame, shame(ring-a-ding-ding).",0,false,0,,,,,,
z12et3njuxrrsdm5y04cdxwoknietjxgwv40k,Skill (DTR),3 months ago,1467617454348,The greatest insult to Japanese culture since Hiroshima.,23,true,4,,,,,,
,,,,,,,,z12et3njuxrrsdm5y04cdxwoknietjxgwv40k.1470711624139165,Psycho Killer,1 month ago,1472974255743,HAHAHAHAHAHHA lmfao.,0
,,,,,,,,z12et3njuxrrsdm5y04cdxwoknietjxgwv40k.1472822757603517,TWNST LBC2,1 month ago,1472974255743,savage,0
,,,,,,,,z12et3njuxrrsdm5y04cdxwoknietjxgwv40k.1473173808359322,Mikey Estee,3 weeks ago,1473751855744,"Ya, I just saw the screen junkies version. Lol.",0
,,,,,,,,z12et3njuxrrsdm5y04cdxwoknietjxgwv40k.1474709288867862,SomeGuy,1 week ago (edited),1474961455744,it's japan's fault they spat on us with pearl harbor.,0
z12bf5hpdsezyznrd04cd1vhuxjyff4br2g,■Aqua■,3 months ago,1467617454349,ni se parece a bulma ;-;,1,false,0,,,,,,
z13rcvsiaqvhcbndc232xrcblkvpgdrao04,Pedro Farias De Mattos Dias,3 months ago,1467617454349,adorei o trailer em HD de dragonball evolution,0,false,0,,,,,,
z134sh3pmwvjdbpzy04ceb2j2vf3v13o24o,Steve Smith,4 months ago,1465025454350,Goku going to high school?! Who thought it was a good fucking idea?!,1,false,0,,,,,,
z13chplpbtarjrta404cfh2g3rnbw1hray40k,Shelton Pires Pires,4 months ago,1465025454351,remind me how much budget did this movie got?,1,true,1,,,,,,
,,,,,,,,z13chplpbtarjrta404cfh2g3rnbw1hray40k.1466187341193165,Strider2112,3 months ago,1467617455995,"53$, and 52$ went to the actor who played Bulma",3
z13gdlda5ur1wzpyw04cdj0yiqiazlbxjzw0k,Jacob Streams,4 months ago,1465025454351,Piccolo looks like he's wearing the mask,0,false,0,,,,,,
z12tfjhgarjgfhzdl23pczjxwwvjwrvsq,ickisistheshitz,4 months ago (edited),1465025454352,"Chao Yun-Fat was very popular until he took a huge dump on his gravy train. Now he's reduced to this. ps, Did they learn nothing from Avatar? It's like watching an Asian Elvis. Cringe, clinch buttchecks, tingly balls.",1,true,1,,,,,,
,,,,,,,,z12tfjhgarjgfhzdl23pczjxwwvjwrvsq.1465791758223656,James Porter,3 months ago,1467617456144,This came out before The last Airbender,0
z13fzrwzstrxulzlg22cxtv5eoqbzlz1k,VitoGamer YT,4 months ago,1465025454352,Que mierd@,0,false,0,,,,,,
z12cidppgpumi53p504cidpbtk3mer2oihg,John Rex Daganasol,4 months ago,1465025454353,I think thats an Kungfu,0,false,0,,,,,,
z12by3u4qserflavq22jdhpyhqubijdsy,PridefulWarri0r,4 months ago,1465025454354,"""Dragon Ball: Evolution"" more like ""Dragon Ball: Cancerlution""",0,false,0,,,,,,
z13hunva1zmiupans23qfvmi1sbxzpgbk04,MrOnomatopoiea,4 months ago,1465025454354,"Filmmaking at its very, very worst!",2,false,0,,,,,,
z12xedzrds3sx3b2g22igpnjyvbcwfbdq,neiel medina,4 months ago,1465025454355,this trailer is better than the movie itself,1,true,1,,,,,,
,,,,,,,,z12xedzrds3sx3b2g22igpnjyvbcwfbdq.1464133537338316,Joseph Gonzalez,4 months ago,1465025456319,"So true, all the ""best moments"" are literally in this trailer.",0
z13xxr340pj2fvcyp04cjdnbuu3hy3o50rk0k,Iván Krauss,4 months ago,1465025454356,This is the worst blasfemy!,0,false,0,,,,,,
z13rwvfrmp2tzzvoh04ch3nzmznltb4qcy00k,mizshow57,4 months ago,1465025454356,this movie iscancer,0,false,0,,,,,,
z13cx34iuqvtc5cue22qtzl4spjhff2sv,CarlosJ. Cruz,4 months ago,1465025458744,La pelicula mas mierda de la puta historia,0,false,0,,,,,,
z134zlnyzymuj5sdf23vhvkyhrz2tnwuw,jb,4 months ago,1465025458745,why the hell does goku go to high school. _.,1,false,0,,,,,,
z12yhhezosqxf1xqc04cjhri3tqzwfajnfk,jb,4 months ago,1465025458746,the movie sucks,0,false,0,,,,,,
z13titpa4rumsrgoj04cghhhfrjzd5oitj4,Brancopero le da Zanarini,4 months ago,1465025458746,recuerdo que cuando esta mierda salió a mi me encantó (con 6 años),0,false,0,,,,,,
z13bvh3oxlzedlat122izb54vtrvsr5nb,Kimbo Slice,4 months ago,1465025458746,This has to b the weakest movie of all time,1,false,0,,,,,,
z13ajnggzwqxzniqi04chd3y1km3hp3z5o40k,Jedidia Aisaka,4 months ago,1465025458747,WTF happened to Bulma?!,0,false,0,,,,,,
z120izm5opn2crqd423auxti0zbmgfnen,Audrei Cabical,4 months ago,1465025458747,This is so shit,0,false,0,,,,,,
