id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13es1rjwsvwxrw1r23ct3gi0peqz15gd04,Ozy Mandias,11 hours ago,1475567024152,This looks SOO bad....,0,false,0,,,,,,
z12aufvq4s32z5rcz23xt5e5mn2pipa3z,horney Slut,1 month ago,1472975024153,Want to enter area 51 :(,0,false,0,,,,,,
z12ve5d4fkqlcvb5e04cgv4iurbterlp4aw,Bye,1 month ago,1472975024154,1.5/5 😁😂😂😂😂😂😂i think I now why,0,false,0,,,,,,
z12agnihrnazxxadf23ivjmrdruisblwi04,HaveFun 37g,1 month ago,1472975024154,This is not a copy of Area 51 2015 ? :D,0,true,2,,,,,,
,,,,,,,,z12agnihrnazxxadf23ivjmrdruisblwi04.1471804493573248,Bye,1 month ago,1472975024425,made in 2009 xDDD but area 51 2015 coolest better than this I thunk,0
,,,,,,,,z12agnihrnazxxadf23ivjmrdruisblwi04.1471806961410469,HaveFun 37g,1 month ago,1472975024426,hah i understand :D to area 51 first time when i seen it i was so fascinated and focused,0
z12ne325pna1dda5z04cjvqwqonpf3fwbaw,Arif Setiawan,3 months ago,1467618224155,bodoh,0,false,0,,,,,,
z13syr4bgxq4dflvu221cbfhuov1x11sr,Armisa L,4 months ago,1465026224155,why is it always college students?,0,false,0,,,,,,
z12zfhiirlybjb4tb22wdrcwapmdf5fui,breanna.kerridg,4 months ago,1465026224156,I see the little alien shop in so many movies and it's exactly the same,0,true,1,,,,,,
,,,,,,,,z12zfhiirlybjb4tb22wdrcwapmdf5fui.1462589274933328,Dase M,4 months ago,1465026224617,It exists,0
z13mxbb5nmiphp2mc23pzruw2lymw5btq,Dwayne Clarke,6 months ago,1459755824157,Where can i find this movie online??? Cant seem to find it anywhere and it looks brilliant !,0,true,5,,,,,,
,,,,,,,,z13mxbb5nmiphp2mc23pzruw2lymw5btq.1460223330947036,Keith Davies,5 months ago,1462347824778,Why don't you go to the store and BUY IT???,0
,,,,,,,,z13mxbb5nmiphp2mc23pzruw2lymw5btq.1463574591064506,1mpregnator,4 months ago,1465026224779,Did you manage to find it @Dwayne Clark?,0
,,,,,,,,z13mxbb5nmiphp2mc23pzruw2lymw5btq.1463574715793592,Dwayne Clarke,4 months ago,1465026224780,+1mpregnator na lad,1
,,,,,,,,z13mxbb5nmiphp2mc23pzruw2lymw5btq.1463574871892646,Dwayne Clarke,4 months ago,1465026224781,"+Keith Davies you cant say anything with hair like that, fag",1
,,,,,,,,z13mxbb5nmiphp2mc23pzruw2lymw5btq.1463575863054889,Keith Davies,4 months ago,1465026224782,+Dwayne Clarke haha.. Me a fag?? Lol.. You wish gay boy!!,0
z122yx3wqpb4vhrse22qdjqydw3tfruph04,Ken hutch,6 months ago,1459755824157,Maria fernanda Manco SSSSOOOOOO hot marry me. I will only see it now for her. I want a movie where we have to kiss and be lots excitiment.. Ill see the movie anyway,0,false,0,,,,,,
z13ayxbawxe1ypbo404cdt254orwz14it4g,Azazel Anunnaki,7 months ago,1457077424158,Not bad at all!,0,false,0,,,,,,
z12ohz2h2n3avjhz304cjfjomtfatjrqzok0k,Drew Scott,8 months ago,1454571824158,You know the movie sucks when you're falling asleep during the trailer.,2,false,0,,,,,,
