id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13gjlwr4ri3udnrl04ci5oykuebd5bx0hc,David Dziubek,2 weeks ago,1474348592960,Ei love twilight,1,false,0,,,,,,
z12aincydpeyud5gm04cjfojsxy0yj3gdrg0k,Zehra Akbulut,1 month ago,1472966192961,the music kills the beauty of the movie,0,false,0,,,,,,
z13gd114rvzpittpr04cjllw1q3uwbmr04k,Laiba Imran,1 month ago,1472966192962,"Yuckkk, teenage pregnancy",0,false,0,,,,,,
z13ezlqxron3zd5fq23thdnxapmngblon04,Apple,3 months ago,1467609392962,I like the graphic novels better,1,false,0,,,,,,
z13qv14g0xvvvv1ff23wi5qpdzjridxtd,devon bentley,5 months ago,1462338992963,really really do miss this!,1,false,0,,,,,,
z12lj1xrnoqzsxuyc04cgp4a0pzdztewsfc,danica digdigan,6 months ago,1459746992964,More twilight movie please can't wait :(,0,false,0,,,,,,
z12yevkj2yzljtqw204cczsotteocnbrrxo0k,Ron lol,7 months ago,1457068592964,Im still twihard..,0,false,0,,,,,,
z13mzvlyipaax3klg221hlhqyru3ur11j,BOO XXX,7 months ago,1457068592965,Twiligth is all,0,false,0,,,,,,
z13id1i5vtu0yzufk22vdrzieyi2ezoyr04,Chris Bryan,7 months ago,1457068592966,"Sam Uley and that commanding voice, so manly.",0,false,0,,,,,,
z13fgzcarvfqj1vhv04ch5ojnxrjclkbxus0k,Falsetymology,8 months ago,1454562992966,$till a better love $tory dhan [hellstormdocumentary]dot[com],0,false,0,,,,,,
z12rxfgjhnery1lgf04cehuqikmifhahpf0,ade mulya,8 months ago,1454562992967,what's sam said at 1:37?,0,false,0,,,,,,
z13rh1uyhmedtdoci23egd3xooerefmey,Tia Sharpfish,9 months ago,1451884592967,YouTube is going slow....!!!,0,false,0,,,,,,
z12gj5sy4taaffz3x23egd3xooerefmey,Tia Sharpfish,9 months ago,1451884592968,Book is better But at first I didn't like the Jacob Part Now I Loved In When I read More N More Great Book!,0,false,0,,,,,,
z12ogbgayqbnd52rj04cdpfw1uzlgvvyito0k,janleibianca loja,10 months ago,1449206192968,Team Edward and Bella!,3,false,0,,,,,,
z13vut1hylj4f13qn04cdx0hdrunv3xhspk0k,OrangeBurrito,1 year ago,1443935792969,This is so f**ked up!,0,false,0,,,,,,
z13dvhtqzrbtidvw504cdr5zhumqjxpy4wg0k,I'm Undertale Trash,1 year ago,1443935792969,that sound at the end tho,0,false,0,,,,,,
z120cr1p4vqhtjpc223rex34wuy4uv2n0,Enchantedbetas .AJ,1 year ago,1443935792970,What is she saying at 0:15 ?,0,true,2,,,,,,
,,,,,,,,z120cr1p4vqhtjpc223rex34wuy4uv2n0.1437539033065693,Keriann Marrero,1 year ago,1443935793253,"Just don't let me fall, dad.",1
,,,,,,,,z120cr1p4vqhtjpc223rex34wuy4uv2n0.1438114181682543,Enchantedbetas .AJ,1 year ago,1443935793254,+Keriann Marrero thanks it's been driving me insane XD,0
z12rxpfzhliquvjdv225sbarqyratxu4l04,Samira Hassan,1 year ago,1443935792970,Don't get me wrong I love Edward and Bella but I want her to be with Jacob even though he so self obsessed but if Jacob and Bella date then we're all gonna want Edward back then Jacob and so on but overall I'm team Jacob ( mainly because of is abs),0,false,0,,,,,,
z135hhy51m3ki3kys04cihjrczbejp0p0q40k,Karla Puentes,1 year ago,1443935792971,It's scary yet sad yet funny💋,1,false,0,,,,,,
z122w5xaisrzzxlvy221u1parnibwtn3s,Aneta Kostrhonova,1 year ago,1443935792971,Music please ? :0,1,false,0,,,,,,
z13dx53jdufadr5wy04cilpgoxf3eph5nco,loqueros de condega,1 year ago,1443935792972,i love twilight,3,false,0,,,,,,
z13zibyoaxafcroa204cibu53zj1uzn4yew,Kiren Ryatt,2 years ago,1412399792973,I love love love robert pattinson. I am his biggest fan ever,0,false,0,,,,,,
z13nhfw5btvvyt04c04cenojwlb4s5qy0vc0k,nik tepeh,2 years ago,1412399792973,awesome trailer :D,1,false,0,,,,,,
z13qhxpw0te5hpjki233i5tweyuvsla2u,Shahida StefanBieber,2 years ago,1412399792973,Team Edward! #Robsten ^_^,3,false,0,,,,,,
z12sg5xz4vq4vvs2u23vvdzockaisvgyu04,YakAttack,2 years ago,1412399792974,Still a better love story than Twilight,6,true,2,,,,,,
,,,,,,,,z12sg5xz4vq4vvs2u23vvdzockaisvgyu04.1408766158014925,YakAttack,2 years ago,1412399793422,+Allyson It was a joke...,3
,,,,,,,,z12sg5xz4vq4vvs2u23vvdzockaisvgyu04.1455195338796056,Falsetymology,7 months ago,1457068593422,Бreaking Шind,0
