id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12uxllb0rrigbad322vg1rxlrqpvxk5u04,A Padgett,4 hours ago,1475560133180,"GUYS!!! Read the French fairytale ""Bluebeard."" THIS IS BLUEBEARD!",0,false,0,,,,,,
z12qtbbz3yijy1acd224ydqieubgjnkpb04,Nolan Moravec,5 days ago,1475128133181,"This film was great! A classic gothic romance done by the very underrated Guillermo del toro! If you guys want a mainstream horror film with loud fake jump scares, Crimson Peak is not for you.",1,false,0,,,,,,
z13mctkbxnzsdjoun23sslh4rz3bxpqfw,LickingBugattis,2 weeks ago,1474350533181,"peopel have to understand that not every horror movie is going to be a keep you up all night & shot your pants, scariest movie you've ever seen. this movie was good because it was dark, the acting was on point. the scenery was amazing and there was a solid plot so don't hate in this movie just because it was all out gore and mayham",6,false,0,,,,,,
z13mhrfjakbhezh4u04cjlnxcpqfvfho1is,Denis Đenis,2 weeks ago,1474350533181,Titanic 1984,0,false,0,,,,,,
z12osztrsritw5xzs04cgxijbnrfezkhnjk,Jacky Chan,2 weeks ago,1474350533182,"It is all because of the fifth dimension,right ? Murph ?",0,false,0,,,,,,
z124gj5jru2ldzu4z04ce5aqhv2wuvrp5qw0k,MsCygnusX1,3 weeks ago,1473745733182,"It was like a gorgeous, dark picture book; but that's all it was. I loooove G del T, but this missed the horror/suspense mark by a mile. I'll always support his work (movie ticket, book, etc.) anyway.",0,false,0,,,,,,
z13dzjbibrbwdbn2x22kxvibqleqxjcdt,Sapphire Partinson,3 weeks ago,1473745733183,Alice in A Huge Mansion. next sequel of Alice Through The Looking Glasss lmao xD,0,false,0,,,,,,
z12shnkz2uzeyd2nh230ivrgak3ywdcns,Ryan Harner,3 weeks ago,1473745733184,trailer was better than the actual movie,0,false,0,,,,,,
z13yfvvxwmbjv3luq22psjyahqabezyca,MrTweetyhack,1 month ago,1472968133184,Awful movie. Made the main character look like a dumb cunt and I was hoping they would just kill her off.,1,false,0,,,,,,
z13qcx4g3vawvphfw23zjr2wsvb4zta2o,Roos Tefsen,1 month ago,1472968133185,fuck this is good,1,false,0,,,,,,
z12ijzgady33gbf2a22wz3qw0ladzfyin04,Isabelle Ombalsky,1 month ago,1472968133185,"Although I saw the incest coming from the beginning of the movie, I was still shocked by it when I saw ""that"" scene. I was not disgusted by it somehow. I found it wickedly beautiful.",2,true,1,,,,,,
,,,,,,,,z12ijzgady33gbf2a22wz3qw0ladzfyin04.1474374545718291,Stuart Clarke,1 week ago,1474955333407,thanks for ruining it for me,3
z12txzmjftu5xxg0o22rzdaiak3wzdcd3,Hypatia,1 month ago,1472968133187,"So I've just seen the trailer, not the movie, and I know exactly what's going to happen. I wish Hollywood would leave something to the imagination and not fill these things with spoilers.",0,false,0,,,,,,
z13wztfzaz2bjlsv522rj5chhyzdu1ptl,92ninersboy,1 month ago,1472968133187,"A GORGEOUS and brilliant movie, Loved every minute. Great acting.",6,false,0,,,,,,
z12tjj1ooniiurzog04ce1noivjyzrjycjs,Pedro Becerra,1 month ago,1472968133188,"""You brought the wrong Alice!""",1,false,0,,,,,,
z12at1frtwncytj10221efuqcq3wtdqc2,melodysurf ditto,1 month ago,1472968133188,"Just watched this.. What an utter crock of Shite this was, nearly two hours of my life I will never get back, the whole movie could have easily been condensed down to an hour, but instead it was dragged out pointlessly to kill time, I cant describe what this film is about as is its not horror, its not suspense, and its no way a romance, oh! and some CGI ghosts created, which are very poor by today’s standards, and a 3 second glimpse of Tom Hiddleston`s bare backside humping a period costume wtf?.. please like me, don’t waste your time!",0,false,0,,,,,,
z131gfvaotbccrkiy04cjfojrnvdhrh4k3w,Toni R,1 month ago,1472968133189,"The film is so much underrated on IMDB, I find this movie beatiful and spooky in the same time..just watch",4,false,0,,,,,,
z13qw33ywryejrqte225clli5mi5hxljb04,Kristine Yang (asiancinderella),1 month ago,1472968133189,"This movie was f*cked up, like seriously f*cked up.",0,false,0,,,,,,
z13vuzeoxuihw1cx204ce5bowwzdvtyhtoo0k,Anika Simmons,1 month ago,1472968133190,this movie was sooooo bad my husband was snoring and everyone was leaving before it was over,0,false,0,,,,,,
z13cyzgrgm31tdklq23aj3zipkelw5rmz,Euxine Box,2 months ago,1470289733190,Stupidest million dollar movie preview I have seen in a long time.,0,false,0,,,,,,
z13fivthtqqmhxsl423uslk4sy3itjcxp04,King HoneyBee (Swarm!),2 months ago,1470289733191,This is my all time favorite movie. 😍 No other movie can best this. A fight between and moth(Lucille) and a butterfly(Edith)...and the butterfly wins. ❤ I love moths though.,1,false,0,,,,,,
z12wvp4jvse4xjefh22zezvj5rumevrl5,Cutu Puss,2 months ago,1470289733191,(S P O I L E R S) This was a great movie and at the end omg everyone get stabbed like every second,0,false,0,,,,,,
z13gfver3lrddhfpp04cjf2znz2bvd04iv00k,monky,2 months ago,1470289733192,is it me or does this house look exactly like the one in The Woman in Black?,6,true,2,,,,,,
,,,,,,,,z13gfver3lrddhfpp04cjf2znz2bvd04iv00k.1471793010137334,seffard,1 month ago,1472968133562,it is you,1
,,,,,,,,z13gfver3lrddhfpp04cjf2znz2bvd04iv00k.1472154454442139,Drizzle Productions,1 month ago,1472968133563,Exactly what I thought when I saw the stairs!,0
z13sengjlprngfwvy23sfxu4lo3fxprm2,DramaQueen234 Whittaker010,2 months ago,1470289733192,awsome film terrifying twist number one film of this year after suiside squad and the new disney films,0,false,0,,,,,,
z13lz1lgznarinlns23wzhg55mukzrdi404,ToadProductionINC,2 months ago,1470289733193,Ooh a Bloodborne movie,0,false,0,,,,,,
z12rdppw0pqghtz2i23twruyuqrcg5baz04,Kamrul Hassan,2 months ago,1470289733193,for me every horror movie is a comedy movie !,1,false,0,,,,,,
z13dvdhiwybajncdr23fyx2qiu3xt5pcp,herman rijsbergen,2 months ago,1470289733194,great movie,0,false,0,,,,,,
z12rthhixqv3cn2p304cinyi4pvasjtzmbo,Danny Dunne,2 months ago,1470289733195,"Is this a movie about the Devil and demons, or just about dead guys running around spooking people?",0,false,0,,,,,,
z12vsbyolqiqxbxec23lihxgjyn5tdlpr04,leave2die,3 months ago,1467611333195,What's the song at :40?,0,false,0,,,,,,
z13kcfk5oliyjvqcp22rtpx5wznfe5sg404,ChuckBlairLuvA,3 months ago,1467611333196,"this was SUCH a good movie. Was not a fan of one of the twists at the end, but other than that VERY GOOD. Not rly that scary as far as ghosts are concerned, but a few times, def yes. more of a gothic romance.",1,false,0,,,,,,
z12ec3txlseaulcla22czbfquurxjrumv,weegee2899- Gaming since 2012,3 months ago,1467611333196,This trailer was so misleading.....,0,false,0,,,,,,
z13dspuzlp3njv4th22bzzlropeixr5dr,Ansh Bishnoi,3 months ago,1467611333197,it feels kinda funny XD,0,false,0,,,,,,
z13ounij4nqbvryuh22tihaypmynvvbrs04,TOP FACT,3 months ago,1467611333197,Tom hiddleston kills me fam.,0,false,0,,,,,,
z131dxvalpyguxk2t220xhiwxmf5hrz4204,Joe Chemo,3 months ago,1467611333198,Someone should explain to filmmakers that THERE'S NO SUCH THING AS GHOSTS.,0,false,0,,,,,,
z13rhfp5gwrzut3j104ci5gqyurhhxf525w,Jenny P,3 months ago,1467611333198,"I have realized how great Mia and Jessica are as professional ACTORS. They melted and transformed themselves into characters so well that I did not feel awkward about their expressions and body language. Their actings were very natural and fluent.. However, I was distracted by some other actors in the film who were just reading scripts and acted like as if they were from the kindergarden school theatre... I personally get quite annoyed when I can sense the actor is practicing, not 'acting' the role.....",0,false,0,,,,,,
z12tgxwq4uexuvoj004cdhy4hq2rxldawb0,Yska Arvihide,3 months ago,1467611333199,Did Crimson Peak copy from The Haunting?,0,false,0,,,,,,
z13pznia2wbyebyzv04chh1jvxvduty4bhc,David Smith,4 months ago,1465019333199,"this movie is ok. not what I expected it to be. I was expecting a ghost/haunted house movie not a murder mystery with ghost. I guess I was I little disappointed in it. the acting was good. but sometimes that is not good enough to make up for a bad story. the story was ok nothing new or original. when I watched it and found out what it was about it was like eh, I've seen this before. I liked the time it was set in though, but all in all it was ok. if you have not seen this movie then I recommend you don't. my review rating 2/5",0,false,0,,,,,,
z13ndvmywxyztva3n23jvziiizftuhqvf,Lopaka Perez,4 months ago,1465019333200,Looks good! 😃,0,false,0,,,,,,
z13odj0q1vbsuxzi204cftpa0pajy3dia1k,MathyPure,4 months ago,1465019333200,so this is the best horror of 2015?,0,false,0,,,,,,
z135crqaopqqxtqib04chzzoozbush5r3uk0k,badboy51826,4 months ago,1465019333201,guillermo del toro and hideo kojima need to happen!,2,false,0,,,,,,
z12dg5sq0szki5udm22tgdhwbtipghk3z,rick peener,4 months ago,1465019333201,what a boring movie,0,false,0,,,,,,
z132wzyosxfpgh3tx22wyduafkbfi3crv04,iAmber Renee,4 months ago,1465019333202,this look HELLA GOOD!,0,false,0,,,,,,
z133z1ayhvndf5lcr23fsfqpcreauhkxu04,Syren,4 months ago,1465019333203,Only going to watch this because of Tom Hiddleston :),0,false,0,,,,,,
z12asxkbssaex5dnh23odv3zfnapxpflu,BoomBuum,4 months ago,1465019333203,enjoyed watching this movie.... it scared me.,0,false,0,,,,,,
z12bthjxwya1gxee323hczmowqibibmyl04,Tekia Huggins,4 months ago,1465019333204,I suffered from terminal disappointment when I saw this movie. Nothing scary was in this movie just a creepy incest dilemma!!,1,false,0,,,,,,
z135x5r51sb0eljj504cexfohzjzjtqhy14,Terry Major,4 months ago,1465019333204,"just watched it, must say i enjoyed it",2,false,0,,,,,,
z12edzeogoiesdnvd23pid2wdxr4gfqvf,Robert Papa,4 months ago,1465019333205,i actually watched this movie because guillermo del toro was the director not because of tom hidleston,0,false,0,,,,,,
z12uzbrgcwadtzvok04ccflrzxnaz5l4hgc,Mark Linn*,4 months ago,1465019333205,"""Ghosts are real, that much I know"".",1,true,1,,,,,,
,,,,,,,,z12uzbrgcwadtzvok04ccflrzxnaz5l4hgc.1463196646774187,Mark Linn*,4 months ago,1465019333750,"+Mark Linn* ""Beware of Crimson Peak"".",1
z12xcrupurjxfvdq304ccllptxi2xjoqlkg0k,xmykiss,4 months ago,1465019333206,"This wasn't scary at all, was kinda boring though.",1,false,0,,,,,,
z13ht1zqcxrvjdocg23btj5iuvu0hdaae04,Adam Wells,4 months ago,1465019333206,When you realize she's the girl from Alice in Wonderland and Alice through the looking glass,3,true,1,,,,,,
,,,,,,,,z13ht1zqcxrvjdocg23btj5iuvu0hdaae04.1472478823006379,Maroš V.,1 month ago,1472968133988,And he is Loki.,0
