id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12fibwhxom1dnu4i04ccln4pxewxnkq2eg,Missy Sana,4 days ago,1475210223744,interstellar or gravity....shit,0,false,0,,,,,,
z12ctrmr2tyzsj53w222dnbj2qfjtjid2,David Z,6 days ago,1475037423744,This movie helped me. Thank you for the message there,0,false,0,,,,,,
z131izrijliaef52x220yjirnvrog33ev,Wayne Manzo,1 week ago,1474951023745,"Michelle A. Manzo at the NASA Lewis Gross Research Center for over 20 years started with a bullshit degree from a fake Liberal Arts College in Yeager State and then a MS in Engineering Technology? What the fuck is that? Dr. Wayne E. Manzo PhD with a PhD in Mechanical Engineering and a PhD in Aerospace Engineering was hired at the NASA Jewish Research Center as a GS-7 level Research Engineer but GS-7 that is what clerks and secret-Terrys get hired in at? Dr. Wayne Manzo was setup and thrown out after one year at NASA while Martian Jew Michelle A. Manzo has a nice cushy life at the Lewis Gross Research Center in Cleveland, OH But, who was Joe ""The Evil Jew"" Manzo's boss at Pioneer Paper in NJ? Lewis Gross? Oh, that is such a coincidence! Yeah, right! NavaJo? Nasa Joe? Joe's B29 Bomber allegedly was shot down by the Japs__and Joe came back as an Evil Martian Jew working for Jewish NASA and the Jew CIA! Blow up the Space Station and forget about space travel! We are on the Mother Ship and why waste money?",0,false,0,,,,,,
z13odjsb3vywhnf1z23wvpbzuq2md35gx04,Barbary Corsair,1 week ago,1474951023745,Imagine floating away from earth forever until you die. What a lonely death. Your body will never be recovered. Unless another civilisation rescues you or sends your dead body back... (if you believe that stuff),0,false,0,,,,,,
z13yxfyrbpqrgrwye04chhxxbsq3utprfzk0k,Rathan Kumar,1 week ago,1474951023746,superb,0,false,0,,,,,,
z135elgrpub5yryfn22pghdbjrnzedtbe04,Than Tha,1 week ago,1474951023746,Great movie! This is movie that makes me feel like out of oxygen in my house 55555,0,false,0,,,,,,
z12ldx5o3qynfg20krvvvrrblsngtecs,Sanpaokey Music,2 weeks ago,1474346223766,amazing!!,0,false,0,,,,,,
z13echhplwepxlbq104cfr4bykrihhfqdcg,James Reddington,2 weeks ago,1474346223767,Cod ghost campaign mission part 1 of 2,0,false,0,,,,,,
z12pwhf55k3au5dln22xt1zo5vnfexme3,James Reddington,2 weeks ago,1474346223767,Ahhh says the blind man who pisses in the wind.. It all comes back to me now,0,false,0,,,,,,
z13nfbdhjtzrvhqea23ycpo4uq2mhl4zn04,Ben Hur,2 weeks ago,1474346223768,th movie interstellar is so horrible and legend best movie i have seen! it better than this movie gravity with honestly because you cant compare gravity with a huge place like the inlerstellar.. and i was choc that gravity won 7 oscars and interstellar non ! ! WFT! why the interstellar best movie than oher because much quations and beautiful thiorie. gravity it good but interstellar it so greatest legend movie,1,false,0,,,,,,
