id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12uz5vbtx3zsjvr204cj3upvwevfj5jmrc0k,Corvo A,1 year ago,1443932901850,Didn't have a fav movie 'til I watched this. The feels were so real...,10,false,0,,,,,,
z12sdtizooz4ujffl230fvcpmuvlutrat04,Brigitte Bardot,1 year ago,1443932901851,the film describes exactly what the C.E.R.N. large hadron collider do in reality .,6,false,0,,,,,,
z13pwvh41yvjffdw004ccvpqmufhdvgwzy40k,Bruno Perica,1 year ago,1443932901851,I've never cried so hard watching a movie as I cried watching this .. by far the best movie that I saw in the last 4 years.. 10/10,102,false,0,,,,,,
z12xcx2pxsmozt3ng23nct4inrqgcpywl04,Jaz Vant,1 year ago,1443932901852,it's quite similar to Contact,1,false,0,,,,,,
z13ltjnpvsvtv12tq23mxfigqnefz3lyt04,Al,1 year ago,1443932901852,Either im stupid or this movie is really complicatit,9,false,0,,,,,,
z13vhlaozraisvsnf234zlwqjqy5wccc,Marcelo,1 year ago,1443932901853,"Believe me and write somewhere what i say: This movie will define a generation of science boys. that was just the most wonderful, gorgeous and the smartest science movie i ever watch.",27,false,0,,,,,,
z12qexgj0njmhpy3422pgzuwxtnyul4te,Kevin Mcglynn,1 year ago,1443932901854,Doctor manns planet is a fake. Threre is no way you could live there he just sent out a signal to be rescued and cooper tries to kill snne hathaway by trying her in the black ending and thrre never was a plan a. Micheal caine lied bout dat,0,true,1,,,,,,
,,,,,,,,z12qexgj0njmhpy3422pgzuwxtnyul4te.1439346967264723,Kevin Mcglynn,1 year ago,1443932902089,Black ending meant to b black hole,0
z13pfzwrlpj0yni21233i5tweyuvsla2u,Shahida StefanBieber,1 year ago,1443932901854,This movie literally blew my mind! The acting to the visual effects this is an extraordinary film that everyone HAS to watch! I loved it a lot 😊❤️,0,false,0,,,,,,
z134vvniovb3t3mfa22otxtynqepwlaas04,Dora Çelik,1 year ago,1443932901855,The music is Evey Reborn - Dario Marianelli,8,false,0,,,,,,
z13rchcb4leptz33t23eev1p5qrkjzcyh04,Pain Akatsuki,1 year ago,1443932901855,"this is the most amazing science fiction movie i have ever seen,i cried when cooper sees his son's video growing up and breaks down really this taught me many lessons today.dont have anymore words to describe this masterpice work.it has set the benchmark for the future movies in this genre.:-)",22,false,0,,,,,,
