id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12zvnagwruwjlaxk04cczpzwxqoxfr5sts0k,Hai. Senpai.,3 hours ago,1475557001476,read the book first. Omg. For the first time ever Im not sure if the book was better than the movie.,0,false,0,,,,,,
z13bujlaylmbjfwoq04ch1arvxnrinkgbig,chapmaned24,14 hours ago,1475557001476,"Watched this movie yesterday. Thought, by the title alone, that it was gonna be a horror flick, such as 1408. Didn't bother reading anything about the movie. Boy was I wrong. Pleasantly wrong. So captivating that it draws you in, concentrating on everything the child is saying about his perspective of life. I don't cry in movies, but I balled my eyes out like a baby throughout the whole movie. Oh, my goodness. Great Movie. So much emotion and tears.",0,false,0,,,,,,
z13hdhhhntrjjryjr04cgx1pcxydtltqby40k,Shaletta Lindsey,2 days ago,1475384201477,I cried watching this movie...thank God for this female police officer...that she had the patience to listen to this child and ask the right questions. This movie was amazing!,0,false,0,,,,,,
z124jzzxxqarw1dqh04cdpkidn3qdz5i2t40k,Anh Mai,4 days ago,1475211401478,cutre,0,false,0,,,,,,
z13iivsxhwavtzotv23afv4jmsbtwhuf5,rose kyle,5 days ago,1475125001478,I just watched till 0:49 secs. I'm reading the book right now. Will treat myself with the movie after i finish!,0,false,0,,,,,,
z13nilhzfmqyyzbjw04cfrrrkuqxdbigqog0k,zeoxdragon,6 days ago,1475038601479,"Oh, hi Mark!",0,false,0,,,,,,
z13njlua4symw1sth22syphpbyfow1sur,Random things,1 week ago,1474952201479,Who else came from twenty one pilots??,1,false,0,,,,,,
z12jwlqagnrjgxeof04cdlerel33fxo5304,Kat B,1 week ago,1474952201480,liked it better when jack was a girl.,0,false,0,,,,,,
z13odnxiuuiyxfbjq04ccj5ycmq0gb3p3r40k,Aaliah Ellahi,1 week ago,1474952201481,Just finished the book. It was amazing haha now about to watch the movie.,0,false,0,,,,,,
z13yzjmqwrefd3aij04cfdigqxi5wvsoxlg0k,BODDENERGON,1 week ago,1474952201483,0/10 No Tommy Wiseau!,0,false,0,,,,,,
z12eizgicxrbwvqub22ffncp3lucghwcu,Zachary Short,1 week ago,1474952201484,your tearing me apart.... wait wrong movie.,0,false,0,,,,,,
z12odrr5sonpcx4mh23twf0zhzr5s5rch,Wello Bello,1 week ago,1474952201485,Oh hi Mark,0,false,0,,,,,,
z12itrigzw3aens3t23ytn2xxzvyuxip304,nirlandia Reis,1 week ago,1474952201486,And this is why i gave up on trailers. It was a great movie but this trailer should have shown just a bit of the story.,0,false,0,,,,,,
z13eizsa3srwvds3y22xuteybsifsrfpc04,Wierd Llama123456789,1 week ago,1474952201486,This is all spoopy jims fault,0,false,0,,,,,,
z124dxhgiqrffz3yc04cczjqgzjbj15i4ug0k,fea mariam,2 weeks ago,1474347401487,whats the music at 1:15??,0,false,0,,,,,,
z12ifbmzgsedcd2r104cdrkbqo3iynwbrzw0k,Jenni Lopez,2 weeks ago,1474347401488,Anyone have a link?,0,false,0,,,,,,
z12eut5pjza4vbj3n221ztj5rwrxe3425,Liam Nguyen,2 weeks ago,1474347401489,What's the song at 2:09???,1,true,1,,,,,,
,,,,,,,,z12eut5pjza4vbj3n221ztj5rwrxe3425.1474818489982976,Qasim Zaidi,1 week ago,1474952201811,Ms mr-All the lost things,0
z134wr4gexurunc0c225cj4z1n3itvjz304,hellexistsidiots,2 weeks ago,1474347401490,"After watching this trailer I was unsure, it looked too forced and predictable. However, I read some comments saying to just watch it, don't think, watch. And OMG! This was one of the best movies I've ever seen. I never cry, and I cried throughout! Holy sxht, just watch it!!!!! Buying the book tomorrow, the author is an absolute genius. The movie finished an hour ago and my throats still tight. Amazing!",3,false,0,,,,,,
z13ksvkqjrildduhs04cjx0ynqv5sdh5d10,Unicorns_Bitches XD,2 weeks ago,1474347401490,does anyone know the song,1,true,1,,,,,,
,,,,,,,,z13ksvkqjrildduhs04cjx0ynqv5sdh5d10.1474818413131404,Qasim Zaidi,1 week ago,1474952202076,MS MR-ALL THE THINGS LOST,0
